"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NKG7",0,2.728936701635,0.985,0.179,0,0,"NKG7"
"CD8A",0,3.01367521660904,0.979,0.195,0,0,"CD8A"
"KLRK1",0,2.60496686691887,0.933,0.189,0,0,"KLRK1"
"CD8B",0,2.95568614885889,0.822,0.124,0,0,"CD8B"
"CCL4L1",0,2.9895802132036,0.816,0.146,0,0,"CCL4L1"
"CCL4L2",0,2.9895802132036,0.816,0.146,0,0,"CCL4L2"
"PRF1",2.96439387504748e-323,2.62275836664391,0.886,0.203,7.02146333243746e-319,0,"PRF1"
"CST7",6.02000412589275e-317,2.26817607615327,0.944,0.224,1.42589817725896e-312,0,"CST7"
"PDCD1",6.56894128731509e-312,2.77561132790111,0.782,0.139,1.55591943331345e-307,0,"PDCD1"
"CCL4",1.84482293634046e-301,2.45564799693386,0.847,0.173,4.369647607016e-297,0,"CCL4"
"LAG3",1.37321099783815e-300,3.2730300912061,0.649,0.085,3.25258756947945e-296,0,"LAG3"
"TIGIT",3.82657469479889e-269,2.35078133817306,0.837,0.204,9.06362482210066e-265,0,"TIGIT"
"GZMK",4.54003457542529e-268,2.38670984178025,0.801,0.171,1.07535258953523e-263,0,"GZMK"
"GZMA",5.61699648090358e-267,2.35714552580017,0.797,0.163,1.33044178646682e-262,0,"GZMA"
"CXCL13",3.02282627465701e-257,3.34456637904414,0.539,0.062,7.1598663141526e-253,0,"CXCL13"
"TOX",8.9873477030857e-254,2.42626507113276,0.793,0.188,2.12874317695288e-249,0,"TOX"
"CTSW",1.90713704360557e-250,2.46917636661145,0.721,0.139,4.51724480148415e-246,0,"CTSW"
"IFNG",1.4738681053505e-242,3.14784521174152,0.566,0.081,3.4910039943332e-238,0,"IFNG"
"CCL5",7.66606109240004e-233,0.993049520226549,1,0.938,1.81578323034587e-228,0,"CCL5"
"VCAM1",2.34532268856494e-232,3.77127272111209,0.495,0.061,5.55513132013492e-228,0,"VCAM1"
"DTHD1",1.42493215890444e-229,2.8831978326829,0.643,0.126,3.37509431158105e-225,0,"DTHD1"
"CCL3L3",2.16184461571109e-222,3.2889000430388,0.511,0.07,5.12054515677328e-218,0,"CCL3L3"
"LYST",1.56613569613751e-220,1.74804423569177,0.963,0.602,3.7095490098713e-216,0,"LYST"
"SIRPG",8.33179849935663e-219,2.22570214904829,0.745,0.186,1.97346979255761e-214,0,"SIRPG"
"CD27",7.81183707960315e-217,1.90193726329008,0.864,0.271,1.8503117306748e-212,0,"CD27"
"ITM2A",4.25151564110754e-213,1.89240031180634,0.861,0.287,1.00701399475273e-208,0,"ITM2A"
"CCL3",2.47388480093324e-208,2.79959058236168,0.569,0.1,5.85964353949048e-204,0,"CCL3"
"CD2",5.70057612545986e-205,1.59643143018219,0.96,0.354,1.35023846107642e-200,0,"CD2"
"CBLB",1.87439560176819e-200,1.68215331761913,0.933,0.493,4.43969342234813e-196,0,"CBLB"
"HAVCR2",5.42590990760128e-200,2.03725045785958,0.926,0.643,1.28518102071444e-195,0,"HAVCR2"
"IL2RB",4.50381002022292e-196,2.01479961937418,0.782,0.233,1.06677244139e-191,0,"IL2RB"
"FCRL3",2.2197264966784e-193,2.2053309705607,0.689,0.175,5.25764418003246e-189,0,"FCRL3"
"PRKCH",6.20149427354475e-190,1.70925802592997,0.889,0.348,1.46888593363181e-185,0,"PRKCH"
"KLRC4",5.14526073976455e-183,2.66044598532656,0.539,0.103,1.21870645882063e-178,0,"KLRC4"
"CD7",3.53662832969049e-181,1.931398079224,0.751,0.212,8.3768578617049e-177,0,"CD7"
"TNFRSF9",1.04865792045631e-175,1.91215395823452,0.95,0.803,2.48385115039281e-171,0,"TNFRSF9"
"IL32",1.24831977035958e-172,1.38311414952353,0.973,0.418,2.9567702080737e-168,0,"IL32"
