cancer,feature,p_discordant,p_concordant,enrichment_ratio,n_discordant,n_concordant
ALL,loc_Predicted_to_be_secreted,0.07500380343830823,0.025297619047619048,2.9648562300319488,6573,20160
ALL,loc_Actin_filaments,0.0243420051726761,0.013244047619047619,1.8379581433750942,6573,20160
ALL,loc_Midbody,0.003194888178913738,0.002380952380952381,1.3418530351437699,6573,20160
ALL,loc_Mitotic_spindle,0.008823976875095086,0.006944444444444444,1.2706526700136924,6573,20160
ALL,loc_Mitotic_chromosome,0.007150464019473604,0.005704365079365079,1.2535074315877206,6573,20160
ALL,loc_Plasma_membrane,0.1372280541609615,0.11116071428571428,1.2345013707652763,6573,20160
ALL,loc_Vesicles,0.14620416856838583,0.12276785714285714,1.1908994094297611,6573,20160
ALL,loc_Intermediate_filaments,0.006237638825498251,0.005357142857142857,1.1643592474263402,6573,20160
ALL,loc_Nuclear_membrane,0.018865054008823975,0.01755952380952381,1.0743488384686195,6573,20160
ALL,loc_Focal_adhesion_sites,0.009584664536741214,0.008928571428571428,1.073482428115016,6573,20160
ALL,loc_Annulus,0.0034991632435721893,0.0033234126984126983,1.0528825520957514,6573,20160
ALL,loc_Golgi_apparatus,0.08367564278107409,0.0798611111111111,1.0477645704760583,6573,20160
ALL,loc_Primary_cilium_transition_zone,0.004564125969876769,0.00441468253968254,1.0338514556484906,6573,20160
ALL,loc_Cell_Junctions,0.019930016735128557,0.019345238095238096,1.0302285573851069,6573,20160
ALL,loc_Cytoplasmic_bodies,0.004259850905218318,0.0042658730158730155,0.9985883052232709,6573,20160
ALL,loc_Nucleoli,0.06983112733911456,0.07098214285714285,0.983784435469287,6573,20160
ALL,loc_Centrosome,0.02327704244637152,0.023958333333333335,0.9715635108050721,6573,20160
ALL,loc_Perinuclear_theca,0.005629088696181348,0.005853174603174603,0.9617154925001353,6573,20160
ALL,loc_Basal_body,0.024189867640346873,0.0251984126984127,0.9599758496641594,6573,20160
ALL,loc_Nucleoli_rim,0.011714589989350373,0.012351190476190476,0.9484583702221026,6573,20160
ALL,loc_Primary_cilium,0.026624068157614485,0.028273809523809524,0.9416512527324702,6573,20160
ALL,loc_Primary_cilium_tip,0.007150464019473604,0.007886904761904762,0.9066248719030683,6573,20160
ALL,loc_Cytosol,0.32724783204016433,0.36750992063492066,0.890446253735958,6573,20160
ALL,loc_Microtubules,0.017495816217860945,0.020783730158730158,0.8418034724393239,6573,20160
ALL,loc_Endoplasmic_reticulum,0.05400882397687509,0.06498015873015874,0.8311586957051922,6573,20160
ALL,loc_Nucleoplasm,0.3112733911455956,0.38115079365079363,0.8166673042029161,6573,20160
ALL,loc_Nucleoli_fibrillar_center,0.014300928038947208,0.018799603174603174,0.7607037183777723,6573,20160
ALL,loc_Nuclear_bodies,0.024494142705005325,0.03273809523809524,0.7481847226256172,6573,20160
ALL,loc_Centriolar_satellite,0.008063289213448958,0.010912698412698412,0.7388905024687773,6573,20160
ALL,loc_Principal_piece,0.01810436634717785,0.02509920634920635,0.7213123034764929,6573,20160
