gene,cancer,protein_detected,detected_fraction,total_patients,rna_log2fc,tumor_log2tpm_mean,normal_log2tpm_mean,gene_length,gene_type,protein_coding,high_rna,discordant
FUCA2,BRCA,0,0.1666666666666666,12,0.5010900497436523,5.153330326080322,4.65224027633667,16880.0,protein_coding,1.0,True,True
CYP51A1,BRCA,0,0.0,9,1.5498404502868652,5.135686874389648,3.585846424102783,30802.0,protein_coding,1.0,True,True
CD99,BRCA,0,0.0,11,-0.5902271270751953,7.652828216552734,8.24305534362793,50131.0,protein_coding,1.0,True,True
CD99,BRCA,0,0.0,11,-0.5902271270751953,7.652828216552734,8.24305534362793,50131.0,protein_coding,1.0,True,True
CIAPIN1,BRCA,0,0.3636363636363636,11,0.359288215637207,4.974710464477539,4.615422248840332,19360.0,protein_coding,1.0,True,True
RHBDD2,BRCA,0,0.0833333333333333,12,0.7632732391357422,6.409449577331543,5.646176338195801,46325.0,protein_coding,1.0,True,True
TMEM132A,BRCA,0,0.0909090909090909,11,2.499897718429565,5.353627681732178,2.8537299633026123,12697.0,protein_coding,1.0,True,True
SPATA20,BRCA,0,0.0833333333333333,12,-0.3698501586914062,4.790105819702148,5.159955978393555,12795.0,protein_coding,1.0,True,True
ADIPOR2,BRCA,0,0.4545454545454545,11,0.1395263671875,5.456129550933838,5.316603183746338,100105.0,protein_coding,1.0,True,True
BLTP2,BRCA,0,0.4545454545454545,11,0.5132937431335449,5.519694805145264,5.006401062011719,,,,True,True
NADK,BRCA,0,0.2727272727272727,11,-0.9056692123413086,5.087084293365479,5.992753505706787,29226.0,protein_coding,1.0,True,True
CYB561,BRCA,0,0.4545454545454545,11,1.8674845695495603,6.352980613708496,4.485496044158936,14075.0,protein_coding,1.0,True,True
NFIX,BRCA,0,0.3333333333333333,12,-0.3794698715209961,5.10621452331543,5.485684394836426,103189.0,protein_coding,1.0,True,True
VTA1,BRCA,0,0.4,10,1.0989625453948977,5.056087493896484,3.957124948501587,77528.0,protein_coding,1.0,True,True
MRC2,BRCA,0,0.3333333333333333,12,0.226907730102539,5.088628768920898,4.861721038818359,66197.0,protein_coding,1.0,True,True
PLAUR,BRCA,0,0.0,12,1.3100965023040771,4.921462535858154,3.611366033554077,24453.0,protein_coding,1.0,True,True
DCN,BRCA,0,0.2727272727272727,11,-2.188413619995117,8.363879203796387,10.552292823791504,42640.0,protein_coding,1.0,True,True
TYROBP,BRCA,0,0.0,11,1.042560577392578,6.931297779083252,5.888737201690674,3895.0,protein_coding,1.0,True,True
LTF,BRCA,0,0.0,9,0.5709919929504395,5.881407737731934,5.310415744781494,49590.0,protein_coding,1.0,True,True
SLC25A39,BRCA,0,0.0,9,0.980581760406494,7.004541873931885,6.023960113525391,5246.0,protein_coding,1.0,True,True
MDH1,BRCA,0,0.0909090909090909,11,0.1876578330993652,7.149137020111084,6.961479187011719,18589.0,protein_coding,1.0,True,True
CD74,BRCA,0,0.5,12,0.7699794769287109,10.687198638916016,9.917219161987305,11293.0,protein_coding,1.0,True,True
SERPINB1,BRCA,0,0.0,11,0.3710975646972656,5.282943248748779,4.911845684051514,9675.0,protein_coding,1.0,True,True
RTF2,BRCA,0,0.1,10,0.4806156158447265,6.564794540405273,6.084178924560547,,,,True,True
ZDHHC6,BRCA,0,0.0,12,-0.1788082122802734,4.765937805175781,4.944746017456055,22490.0,protein_coding,1.0,True,True
RNH1,BRCA,0,0.0909090909090909,11,-0.5645589828491211,6.608235359191895,7.172794342041016,12789.0,protein_coding,1.0,True,True
NDUFS1,BRCA,0,0.2727272727272727,11,0.4308977127075195,5.032389163970947,4.601491451263428,44787.0,protein_coding,1.0,True,True
EHD2,BRCA,0,0.0,12,-1.984684944152832,4.825425624847412,6.810110569000244,29792.0,protein_coding,1.0,True,True
VIM,BRCA,0,0.1,10,-1.6349973678588867,9.367385864257812,11.0023832321167,9335.0,protein_coding,1.0,True,True
MAP2K3,BRCA,0,0.25,12,-0.1831870079040527,4.798919677734375,4.982106685638428,30569.0,protein_coding,1.0,True,True
GABARAPL2,BRCA,0,0.0833333333333333,12,-0.2021212577819824,6.691919803619385,6.894041061401367,11531.0,protein_coding,1.0,True,True
