gene,location_raw,location
TSPAN6,Cell Junctions,Cell_Junctions
TSPAN6,Cytosol,Cytosol
TSPAN6,Nucleoli fibrillar center,Nucleoli_fibrillar_center
SCYL3,Cytosol,Cytosol
SCYL3,Golgi apparatus,Golgi_apparatus
C1ORF112,Nucleoplasm,Nucleoplasm
C1ORF112,Nucleoli,Nucleoli
FGR,Plasma membrane,Plasma_membrane
FGR,Aggresome,Aggresome
CFH,Vesicles,Vesicles
CFH,Predicted to be secreted,Predicted_to_be_secreted
GCLC,Nucleoplasm,Nucleoplasm
GCLC,Cytosol,Cytosol
GCLC,Nucleoli,Nucleoli
NFYA,Nucleoplasm,Nucleoplasm
STPG1,Nucleoplasm,Nucleoplasm
NIPAL3,Nucleoplasm,Nucleoplasm
LAS1L,Nucleoplasm,Nucleoplasm
LAS1L,Basal body,Basal_body
LAS1L,Centriolar satellite,Centriolar_satellite
LAS1L,Centrosome,Centrosome
LAS1L,Cytosol,Cytosol
LAS1L,Primary cilium transition zone,Primary_cilium_transition_zone
ANKIB1,Cytosol,Cytosol
ANKIB1,Plasma membrane,Plasma_membrane
CYP51A1,Endoplasmic reticulum,Endoplasmic_reticulum
KRIT1,Vesicles,Vesicles
RAD52,Nuclear speckles,Nuclear_speckles
RAD52,Plasma membrane,Plasma_membrane
BAD,Mitochondria,Mitochondria
BAD,End piece,End_piece
BAD,Principal piece,Principal_piece
LAP3,Cytosol,Cytosol
LAP3,Calyx,Calyx
LAP3,Mid piece,Mid_piece
LAP3,Principal piece,Principal_piece
CD99,Golgi apparatus,Golgi_apparatus
HS3ST1,Vesicles,Vesicles
HECW1,Nucleoli fibrillar center,Nucleoli_fibrillar_center
HECW1,Cytosol,Cytosol
MAD1L1,Nuclear membrane,Nuclear_membrane
MAD1L1,Nucleoplasm,Nucleoplasm
LASP1,Cytosol,Cytosol
LASP1,Plasma membrane,Plasma_membrane
LASP1,Focal adhesion sites,Focal_adhesion_sites
LASP1,Golgi apparatus,Golgi_apparatus
SNX11,Endoplasmic reticulum,Endoplasmic_reticulum
SNX11,Vesicles,Vesicles
TMEM176A,Mitochondria,Mitochondria
KLHL13,Cytosol,Cytosol
CYP26B1,Cytosol,Cytosol
ICA1,Cytosol,Cytosol
ICA1,Vesicles,Vesicles
DBNDD1,Nuclear speckles,Nuclear_speckles
DBNDD1,Cytosol,Cytosol
DBNDD1,End piece,End_piece
DBNDD1,Equatorial segment,Equatorial_segment
DBNDD1,Mid piece,Mid_piece
DBNDD1,Principal piece,Principal_piece
ALS2,Cytosol,Cytosol
ALS2,Vesicles,Vesicles
CASP10,Golgi apparatus,Golgi_apparatus
CASP10,Vesicles,Vesicles
CFLAR,Cytosol,Cytosol
CFLAR,Nucleoplasm,Nucleoplasm
CFLAR,Plasma membrane,Plasma_membrane
CFLAR,Nuclear bodies,Nuclear_bodies
RBM5,Nucleoplasm,Nucleoplasm
RBM5,End piece,End_piece
RBM5,Flagellar centriole,Flagellar_centriole
RBM5,Mid piece,Mid_piece
RBM5,Perinuclear theca,Perinuclear_theca
RBM5,Principal piece,Principal_piece
MTMR7,Cytosol,Cytosol
MTMR7,Nucleoplasm,Nucleoplasm
SLC7A2,Plasma membrane,Plasma_membrane
SLC7A2,Cell Junctions,Cell_Junctions
SARM1,Mitochondria,Mitochondria
POLDIP2,Mitochondria,Mitochondria
AK2,Mitochondria,Mitochondria
CD38,Plasma membrane,Plasma_membrane
FKBP4,Cytosol,Cytosol
FKBP4,Nucleoplasm,Nucleoplasm
KDM1A,Nucleoplasm,Nucleoplasm
KDM1A,Cytosol,Cytosol
RBM6,Nuclear speckles,Nuclear_speckles
RBM6,Cytoplasmic bodies,Cytoplasmic_bodies
CAMKK1,Cytosol,Cytosol
RECQL,Nucleoplasm,Nucleoplasm
VPS50,Cytosol,Cytosol
VPS50,Plasma membrane,Plasma_membrane
VPS50,Basal body,Basal_body
