,0
loc_Cytosol,82
loc_Nucleoplasm,71
loc_Mitochondria,46
loc_Endoplasmic_reticulum,21
loc_Nucleoli,18
loc_Plasma_membrane,16
loc_Golgi_apparatus,15
loc_Nuclear_speckles,15
loc_Vesicles,12
loc_Mid_piece,6
loc_Nucleoli_fibrillar_center,6
loc_Nuclear_bodies,5
loc_Nucleoli_rim,5
loc_Microtubules,5
loc_Primary_cilium,4
loc_Principal_piece,4
loc_Cytokinetic_bridge,3
loc_Cytoplasmic_bodies,3
loc_Nuclear_membrane,3
loc_End_piece,3
loc_Flagellar_centriole,3
loc_Basal_body,3
loc_Acrosome,2
loc_Centriolar_satellite,2
loc_Centrosome,2
loc_Mitotic_chromosome,2
loc_Primary_cilium_tip,2
loc_Cell_Junctions,1
loc_Midbody,1
loc_Intermediate_filaments,1
loc_Focal_adhesion_sites,1
loc_Connecting_piece,1
loc_Mitotic_spindle,1
loc_Perinuclear_theca,1
loc_Primary_cilium_transition_zone,1
loc_Equatorial_segment,1
loc_Calyx,0
loc_Annulus,0
loc_Actin_filaments,0
loc_Predicted_to_be_secreted,0
