gene,n_complete,protein_coverage,spearman_rho,spearman_p,rna_to_protein_slope,rna_to_protein_intercept,n_high_rna,n_high_rna_unexpected_low_protein,fraction_high_rna_unexpected_low_protein,median_residual_z_among_high_rna,n_low_rna,n_low_rna_unexpected_high_protein,spearman_fdr,protein_detected,detected_fraction,total_patients,triangulation_class
C2CD4C,54,0.5625,0.32349914236706684,0.017025780506840546,0.22814442831845544,-2.1371793224034263e-15,1,1,1.0,-4.4724889362799845,0,0,0.027208506925354797,0.0,0.0,11.0,assay_ambiguous
NEFL,58,0.6041666666666666,0.37342726252730774,0.0038859999132937967,-0.14513688814805523,-2.3245294578089215e-16,1,1,1.0,-7.383163600240241,0,0,0.007130589959585194,0.0,0.0,11.0,assay_ambiguous
MASTL,53,0.5520833333333334,0.23859054991130463,0.08534317466195135,0.09732334765724086,-5.466113672802919e-15,5,3,0.6,-1.5211898455443633,4,1,0.11517690319785882,0.0,0.0,12.0,assay_ambiguous
CHGB,62,0.6458333333333334,0.3203183037485877,0.011144952706559274,0.2990319125430726,-6.036837696399289e-16,2,1,0.5,-1.2690665422510612,0,0,0.018578647340322482,0.0,0.0,11.0,assay_ambiguous
CRABP1,67,0.6979166666666666,0.42766720319730994,0.00030643748570239357,0.19691410502226722,-6.107961358914338e-15,2,1,0.5,-1.7930750241690427,0,0,0.0007076055592044156,0.0,0.0,12.0,assay_ambiguous
HBZ,52,0.5416666666666666,0.04522259292249911,0.7502267521031242,0.24540005793534114,-6.786238238021269e-15,2,1,0.5,0.00023362617876321323,0,0,0.7844459653950251,0.0,0.0,12.0,assay_ambiguous
SST,57,0.59375,0.24752486723415604,0.0634004314862522,0.05028456572764252,-9.367506770274758e-16,2,1,0.5,-0.996090034829384,0,0,0.0884545789130335,0.0,0.0,12.0,assay_ambiguous
SVEP1,70,0.7291666666666666,0.2298136645962733,0.055640649551948904,0.14447266914597506,6.689093723366568e-15,6,3,0.5,-0.47048884308816474,4,1,0.07876896043896003,0.0,0.0909090909090909,11.0,assay_ambiguous
TESC,59,0.6145833333333334,0.6650496785505553,9.18361606557008e-09,0.6624602692717982,-6.106226635438361e-16,11,5,0.45454545454545453,-0.005937652168210683,8,1,5.272252124689974e-08,0.0,0.0833333333333333,12.0,assay_ambiguous
ADH6,52,0.5416666666666666,0.5252283787244941,6.392657480765766e-05,0.6623130343517969,-1.817990202823694e-15,7,3,0.42857142857142855,-0.6750065854432908,0,0,0.00016992557749752424,0.0,0.0,11.0,assay_ambiguous
IGLV6-57,59,0.6145833333333334,0.08801870251315022,0.5073899156789058,0.14524136636015117,-2.256875242245826e-15,7,3,0.42857142857142855,-0.5644173398192653,0,0,0.5593910712161468,0.0,0.25,12.0,assay_ambiguous
CRABP2,71,0.7395833333333334,0.7089537223340039,4.574556445739962e-12,0.628616123851947,1.817990202823694e-15,5,2,0.4,0.046684730560096754,0,0,4.842619625999883e-11,0.0,0.0,11.0,assay_ambiguous
ENPP1,52,0.5416666666666666,0.5599760949372491,1.5857888085460342e-05,0.6125933049356617,-6.938893903907228e-17,5,2,0.4,-0.5233500964317706,3,1,4.755220567981071e-05,0.0,0.0,11.0,assay_ambiguous
NOS2,53,0.5520833333333334,0.635542654410579,3.1759636051291976e-07,0.7117595138573671,5.263151026113633e-15,5,2,0.4,0.36795384575623585,0,0,1.3474030661709576e-06,0.0,0.1666666666666666,12.0,assay_ambiguous
SPON2,72,0.75,0.3404077432632324,0.003435456846134277,0.39207190351875487,-3.83026943495679e-15,5,2,0.4,-0.7337804612862282,3,0,0.006365361514242105,0.0,0.0833333333333333,12.0,assay_ambiguous
FAM210A,59,0.6145833333333334,0.287375803623612,0.02731913845402475,0.2909685981504748,-5.80785419757035e-15,8,3,0.375,0.23869071220613913,7,0,0.041484155423105656,0.0,0.0,10.0,assay_ambiguous
KIF2C,49,0.5104166666666666,0.8004081632653061,5.128618830148875e-12,0.719204889701061,3.83026943495679e-15,8,3,0.375,0.0003680937263969143,8,0,5.386265084175311e-11,0.0,0.1666666666666666,12.0,assay_ambiguous
MUC12,73,0.7604166666666666,0.6452239911144021,7.185407247609843e-10,0.5312037296171974,-1.7069679003611782e-15,8,3,0.375,-0.1274847600877651,0,0,5.153029922557738e-09,0.0,0.25,12.0,assay_ambiguous
MTMR10,69,0.71875,0.08103763244428208,0.5080087500270358,0.13462554281135855,-5.773159728050814e-15,11,4,0.36363636363636365,-0.17500790976307123,9,1,0.5598876276823167,0.0,0.1666666666666666,12.0,assay_ambiguous
ADCK5,66,0.6875,0.4595136207076506,0.00010393182409517017,0.5420093710641674,-6.473988012345444e-15,12,4,0.3333333333333333,-0.4540956218021419,10,3,0.0002634672609968732,0.0,0.3333333333333333,12.0,assay_ambiguous
ANKRD35,55,0.5729166666666666,0.04834054834054835,0.7259832228494771,-0.02188467117339599,-1.2601031329495527e-14,6,2,0.3333333333333333,-0.06623767471239855,6,1,0.7625748878975074,0.0,0.3,10.0,assay_ambiguous
ASB9,70,0.7291666666666666,0.4876738693027731,1.8524928963866817e-05,0.35412108894177086,-8.770761894538737e-15,6,2,0.3333333333333333,0.288904374685937,6,0,5.4933794063207736e-05,0.0,0.0909090909090909,11.0,assay_ambiguous
ATP6V1G2,50,0.5208333333333334,0.48120048019207684,0.0004038358776679245,0.33551067400518286,-1.3912482277333993e-15,6,2,0.3333333333333333,-0.6830036685729335,6,0,0.0009100681066902922,0.0,0.0,11.0,assay_ambiguous
CD40,56,0.5833333333333334,0.6247436773752565,2.658800268957586e-07,0.5684035503127982,3.9256792261355145e-15,6,2,0.3333333333333333,-0.14082085631866068,2,0,1.1462843182898854e-06,0.0,0.0833333333333333,12.0,assay_ambiguous
CD8A,56,0.5833333333333334,0.8293233082706767,2.8980154004892864e-15,0.8072133846026701,-1.996666720849305e-15,6,2,0.3333333333333333,-0.5227073219447139,7,0,6.096837462801511e-14,0.0,0.0,10.0,assay_ambiguous
CDH2,70,0.7291666666666666,0.44963695214766863,9.425850543036486e-05,0.5602273394322643,8.604228440844963e-16,9,3,0.3333333333333333,-0.12671136391648807,0,0,0.0002416623772082783,0.0,0.0,10.0,assay_ambiguous
CLEC11A,72,0.75,0.6045404849186443,1.8721402749357682e-08,0.5541327140230004,-3.0080105073437835e-15,12,4,0.3333333333333333,-0.5963933644996186,4,0,1.0077723520463957e-07,0.0,0.4166666666666667,12.0,assay_ambiguous
CR2,52,0.5416666666666666,0.5657816101767267,1.2369566854483865e-05,0.5492082277179569,-8.659739592076221e-15,6,2,0.3333333333333333,-0.30757306286754066,0,0,3.787788136739233e-05,0.0,0.2,10.0,assay_ambiguous
HPGDS,75,0.78125,0.18816500711237552,0.10595093327291627,0.2576922379111446,6.5621336489685156e-15,9,3,0.3333333333333333,-0.22987255883377186,9,1,0.13969226851245817,0.0,0.0909090909090909,11.0,assay_ambiguous
