hpa_detection_fraction_max,cptac_coverage_min,cancer_code,overlap_genes,hpa_low_genes,events,event_rate_among_overlap,event_rate_among_hpa_low,genes_recurrent_2plus,genes_recurrent_3plus,genes_recurrent_4
0.0,0.5,BRCA,9923,1274,862,0.08686889045651516,0.6766091051805337,865,428,171
0.0,0.5,COAD,7768,805,552,0.07106076210092688,0.6857142857142857,865,428,171
0.0,0.5,GBM,9924,1920,1518,0.15296251511487305,0.790625,865,428,171
0.0,0.5,PAAD,9486,1138,770,0.08117225384777567,0.6766256590509666,865,428,171
0.0,0.8,BRCA,9923,1274,724,0.07296180590547213,0.5682888540031397,731,351,140
0.0,0.8,COAD,7768,805,458,0.05895983522142122,0.568944099378882,731,351,140
0.0,0.8,GBM,9924,1920,1335,0.13452237001209189,0.6953125,731,351,140
0.0,0.8,PAAD,9486,1138,637,0.06715159181952352,0.5597539543057997,731,351,140
0.0,0.9,BRCA,9923,1274,667,0.06721757533004132,0.5235478806907379,663,300,118
0.0,0.9,COAD,7768,805,402,0.05175077239958805,0.4993788819875776,663,300,118
0.0,0.9,GBM,9924,1920,1248,0.12575574365175332,0.65,663,300,118
0.0,0.9,PAAD,9486,1138,564,0.05945604048070841,0.4956063268892794,663,300,118
0.0,1.0,BRCA,9923,1274,582,0.05865161745439887,0.45682888540031397,559,255,98
0.0,1.0,COAD,7768,805,357,0.045957775489186406,0.4434782608695652,559,255,98
0.0,1.0,GBM,9924,1920,1135,0.11436920596533656,0.5911458333333334,559,255,98
0.0,1.0,PAAD,9486,1138,461,0.04859793379717478,0.40509666080843587,559,255,98
0.1,0.5,BRCA,9923,1767,1238,0.12476065705935704,0.7006225240520656,1262,656,288
0.1,0.5,COAD,7768,1119,760,0.09783728115345006,0.6791778373547811,1262,656,288
0.1,0.5,GBM,9924,2592,2089,0.21049979846835953,0.8059413580246914,1262,656,288
0.1,0.5,PAAD,9486,1543,1064,0.11216529622601729,0.6895657809462087,1262,656,288
0.1,0.8,BRCA,9923,1767,1042,0.10500856595787564,0.5897000565930957,1067,550,225
0.1,0.8,COAD,7768,1119,638,0.08213182286302781,0.5701519213583557,1067,550,225
0.1,0.8,GBM,9924,2592,1846,0.1860137041515518,0.7121913580246914,1067,550,225
0.1,0.8,PAAD,9486,1543,882,0.09297912713472485,0.5716137394685677,1067,550,225
0.1,0.9,BRCA,9923,1767,957,0.09644260808223319,0.5415959252971138,982,476,186
0.1,0.9,COAD,7768,1119,566,0.07286302780638516,0.5058087578194816,982,476,186
0.1,0.9,GBM,9924,2592,1729,0.17422410318419992,0.6670524691358025,982,476,186
0.1,0.9,PAAD,9486,1543,788,0.08306978705460678,0.5106934543097861,982,476,186
0.1,1.0,BRCA,9923,1767,841,0.08475259498135644,0.47594793435200905,842,399,154
0.1,1.0,COAD,7768,1119,501,0.06449536560247168,0.4477211796246649,842,399,154
0.1,1.0,GBM,9924,2592,1590,0.16021765417170497,0.6134259259259259,842,399,154
0.1,1.0,PAAD,9486,1543,654,0.068943706514864,0.423849643551523,842,399,154
0.25,0.5,BRCA,9923,2295,1656,0.16688501461251637,0.7215686274509804,1776,975,467
0.25,0.5,COAD,7768,1500,1035,0.1332389289392379,0.69,1776,975,467
0.25,0.5,GBM,9924,3361,2757,0.27781136638452236,0.8202915798869385,1776,975,467
0.25,0.5,PAAD,9486,2161,1526,0.1608686485346827,0.7061545580749653,1776,975,467
0.25,0.8,BRCA,9923,2295,1403,0.14138869293560416,0.6113289760348584,1497,827,372
0.25,0.8,COAD,7768,1500,858,0.11045314109165809,0.572,1497,827,372
