held_out_cancer,feature_set,model,annotated_only,n_test,prevalence,roc_auc,pr_auc,brier
BRCA,rna,logistic,False,15212,0.5811859058637917,0.7305786220153244,0.7574386698661899,0.21072242450043682
BRCA,rna_gene,logistic,False,15212,0.5811859058637917,0.7314603549681514,0.7585372520392086,0.21056339591749595
BRCA,rna_localization,logistic,False,15212,0.5811859058637917,0.7478800513673868,0.7861796058243293,0.20489748975323285
BRCA,full,logistic,False,15212,0.5811859058637917,0.7484820645296539,0.7865177771925843,0.20479886543494033
COAD,rna,logistic,False,15212,0.6166184591112279,0.7306214371996572,0.787305735921965,0.21341156895443658
COAD,rna_gene,logistic,False,15212,0.6166184591112279,0.7311512140941383,0.7884826476355513,0.2133920294340382
COAD,rna_localization,logistic,False,15212,0.6166184591112279,0.7458269352824356,0.8089568834333405,0.208310930150504
COAD,full,logistic,False,15212,0.6166184591112279,0.74623043293234,0.809314692141791,0.208271169418734
GBM,rna,logistic,False,15212,0.44780436497501974,0.6925176858764646,0.600856209085134,0.227403644881362
GBM,rna_gene,logistic,False,15212,0.44780436497501974,0.6927491926012918,0.6009147358439454,0.2274585080983437
GBM,rna_localization,logistic,False,15212,0.44780436497501974,0.7113717039957499,0.6305546066912635,0.22205272793961062
GBM,full,logistic,False,15212,0.44780436497501974,0.711752002768224,0.631057958083372,0.22208094781913004
LIHC,rna,logistic,False,15212,0.516434393899553,0.6955082301852044,0.6789015142953908,0.2231825953648567
LIHC,rna_gene,logistic,False,15212,0.516434393899553,0.6958873265544344,0.6791124983570629,0.22303126596880152
LIHC,rna_localization,logistic,False,15212,0.516434393899553,0.7047525403566535,0.6973643369665344,0.21940091668848485
LIHC,full,logistic,False,15212,0.516434393899553,0.7050323613238401,0.6975746263719957,0.21931773854171227
PAAD,rna,logistic,False,15212,0.5706678937680778,0.7002189111252368,0.7185255352214264,0.21868984076666753
PAAD,rna_gene,logistic,False,15212,0.5706678937680778,0.7012567163267718,0.7195450264085539,0.21847582668166085
PAAD,rna_localization,logistic,False,15212,0.5706678937680778,0.7212361641185945,0.7525303438076738,0.21262244140271905
PAAD,full,logistic,False,15212,0.5706678937680778,0.7217874060833387,0.7530716563806532,0.21248512537869774
PRAD,rna,logistic,False,15212,0.5447015514067841,0.7130435612947439,0.720516575913291,0.21655076770853945
PRAD,rna_gene,logistic,False,15212,0.5447015514067841,0.7137793838508939,0.7212475015261781,0.21647625596123
PRAD,rna_localization,logistic,False,15212,0.5447015514067841,0.7244125669320076,0.7388868468709101,0.21223911061913883
PRAD,full,logistic,False,15212,0.5447015514067841,0.72482107844111,0.7392430755667798,0.21218458531852577
THCA,rna,logistic,False,15212,0.5999868524848804,0.7221264185947605,0.7660150974466402,0.21491011546406655
THCA,rna_gene,logistic,False,15212,0.5999868524848804,0.7229902987686133,0.7667387316450781,0.21479410387999015
THCA,rna_localization,logistic,False,15212,0.5999868524848804,0.7348315052839243,0.7867664964763257,0.2105484317331105
THCA,full,logistic,False,15212,0.5999868524848804,0.7353365217326326,0.7871792125935777,0.21045971494202761
