held_out_cancer,feature_set,model,annotated_only,n_test,prevalence,roc_auc,pr_auc,brier
BRCA,rna,logistic,True,11419,0.6383220947543568,0.7189295488873911,0.7882195315813799,0.21137595977206547
BRCA,rna_gene,logistic,True,11419,0.6383220947543568,0.7196931792475111,0.7882889454809834,0.2112006118301377
BRCA,rna_localization,logistic,True,11419,0.6383220947543568,0.7372375103683715,0.810747392551149,0.20592771034478313
BRCA,full,logistic,True,11419,0.6383220947543568,0.7383726581265943,0.8110707657055909,0.2056487838836123
COAD,rna,logistic,True,11419,0.6711620982572905,0.7221815415215342,0.8169161033843264,0.2156345794067598
COAD,rna_gene,logistic,True,11419,0.6711620982572905,0.7231101051069,0.8174380202574053,0.2154577332132312
COAD,rna_localization,logistic,True,11419,0.6711620982572905,0.7372357038214878,0.8326373806569324,0.21098665816470583
COAD,full,logistic,True,11419,0.6711620982572905,0.7382077897528417,0.8330478667054658,0.21073808019680898
GBM,rna,logistic,True,11419,0.501795253524827,0.6736121911885924,0.6358946335765185,0.22813344765335433
GBM,rna_gene,logistic,True,11419,0.501795253524827,0.6747403289223225,0.6368285713915846,0.22799784763622905
GBM,rna_localization,logistic,True,11419,0.501795253524827,0.6893913332640038,0.6543483345036598,0.22401598242793438
GBM,full,logistic,True,11419,0.501795253524827,0.6909576884695581,0.6557221044666441,0.22376837613039163
LIHC,rna,logistic,True,11419,0.5602942464313863,0.6724392748953925,0.697121460233045,0.23298455280989092
LIHC,rna_gene,logistic,True,11419,0.5602942464313863,0.6728446682109569,0.6972804775037024,0.23292187995964903
LIHC,rna_localization,logistic,True,11419,0.5602942464313863,0.6836641529147447,0.7158273791691435,0.22890375322213516
LIHC,full,logistic,True,11419,0.5602942464313863,0.6842111833020912,0.716294007145667,0.22885872725600528
PAAD,rna,logistic,True,11419,0.6228216131009721,0.6889441234519471,0.7503650872161018,0.21947062152014374
PAAD,rna_gene,logistic,True,11419,0.6228216131009721,0.6898748029145532,0.750702140816595,0.21925833329761382
PAAD,rna_localization,logistic,True,11419,0.6228216131009721,0.7093698084291588,0.7772292993660357,0.21391661219813723
PAAD,full,logistic,True,11419,0.6228216131009721,0.7103563782818302,0.7779831985432506,0.21361377392345884
PRAD,rna,logistic,True,11419,0.5960241702425781,0.6988295480728517,0.7473656948992007,0.21753868151460845
PRAD,rna_gene,logistic,True,11419,0.5960241702425781,0.699948859854406,0.7480955934473887,0.2173738425538152
PRAD,rna_localization,logistic,True,11419,0.5960241702425781,0.7104280986943656,0.7617020892187586,0.21377643065835697
PRAD,full,logistic,True,11419,0.5960241702425781,0.7114206749008586,0.7623064602133698,0.21352676938258344
THCA,rna,logistic,True,11419,0.6512829494701813,0.7104399541111012,0.7940198600694477,0.21691403084771702
THCA,rna_gene,logistic,True,11419,0.6512829494701813,0.7112632096552274,0.7944294402739933,0.2168121600283803
THCA,rna_localization,logistic,True,11419,0.6512829494701813,0.7249229033676958,0.8100803079318297,0.21270226630985167
THCA,full,logistic,True,11419,0.6512829494701813,0.7258123435248857,0.8107114535265533,0.2125348812963322
