gene,ensembl_base,gene_length,gene_type
DDX11L1,ENSG00000223972,2541,transcribed_unprocessed_pseudogene
WASH7P,ENSG00000227232,15167,unprocessed_pseudogene
MIR6859-1,ENSG00000278267,68,miRNA
RP11-34P13.3,ENSG00000243485,1556,lincRNA
MIR1302-2,ENSG00000274890,138,miRNA
FAM138A,ENSG00000237613,1528,lincRNA
OR4G4P,ENSG00000268020,840,unprocessed_pseudogene
OR4G11P,ENSG00000240361,940,unprocessed_pseudogene
OR4F5,ENSG00000186092,918,protein_coding
RP11-34P13.7,ENSG00000238009,44429,lincRNA
RP11-34P13.8,ENSG00000239945,1555,lincRNA
CICP27,ENSG00000233750,3812,processed_pseudogene
RP11-34P13.15,ENSG00000268903,755,processed_pseudogene
RP11-34P13.16,ENSG00000269981,284,processed_pseudogene
RP11-34P13.14,ENSG00000239906,550,antisense
RP11-34P13.13,ENSG00000241860,32389,processed_transcript
RNU6-1100P,ENSG00000222623,104,snRNA
RP11-34P13.9,ENSG00000241599,1080,lincRNA
FO538757.3,ENSG00000279928,1766,protein_coding
FO538757.2,ENSG00000279457,15400,protein_coding
MIR6859-2,ENSG00000273874,68,miRNA
FO538757.1,ENSG00000275135,138,miRNA
AP006222.2,ENSG00000228463,39639,lincRNA
RPL23AP21,ENSG00000241670,457,processed_pseudogene
RPL23AP24,ENSG00000236679,385,processed_pseudogene
RP5-857K21.15,ENSG00000236743,2299,lincRNA
RP4-669L17.2,ENSG00000236601,6848,lincRNA
RP4-669L17.10,ENSG00000237094,136229,lincRNA
WBP1LP7,ENSG00000269732,363,processed_pseudogene
OR4F29,ENSG00000278566,939,protein_coding
SEPT14P13,ENSG00000224813,180,transcribed_unprocessed_pseudogene
CICP7,ENSG00000233653,2806,processed_pseudogene
RP4-669L17.8,ENSG00000250575,2017,unprocessed_pseudogene
U6,ENSG00000278757,104,snRNA
RP5-857K21.1,ENSG00000231709,2465,lincRNA
RP5-857K21.2,ENSG00000235146,7140,lincRNA
RP5-857K21.3,ENSG00000239664,3046,lincRNA
RP5-857K21.4,ENSG00000230021,123272,lincRNA
RP5-857K21.5,ENSG00000223659,1634,lincRNA
MTND1P23,ENSG00000225972,372,unprocessed_pseudogene
MTND2P28,ENSG00000225630,1044,unprocessed_pseudogene
AC114498.1,ENSG00000276171,63,miRNA
RP5-857K21.6,ENSG00000237973,1543,unprocessed_pseudogene
MIR6723,ENSG00000278791,89,miRNA
RP5-857K21.7,ENSG00000229344,682,unprocessed_pseudogene
MTATP8P1,ENSG00000240409,207,unprocessed_pseudogene
MTATP6P1,ENSG00000248527,681,unprocessed_pseudogene
RP5-857K21.11,ENSG00000198744,547,unprocessed_pseudogene
WBP1LP6,ENSG00000268663,424,processed_pseudogene
OR4F16,ENSG00000273547,939,protein_coding
CICP3,ENSG00000229376,2812,processed_pseudogene
RP11-206L10.1,ENSG00000224956,1917,unprocessed_pseudogene
RP11-206L10.3,ENSG00000235373,8204,lincRNA
RNU6-1199P,ENSG00000223181,104,snRNA
RP11-206L10.5,ENSG00000240618,5894,lincRNA
RP11-206L10.4,ENSG00000229905,1079,antisense
RP11-206L10.2,ENSG00000228327,13770,lincRNA
RP11-206L10.9,ENSG00000237491,31291,lincRNA
RP11-206L10.8,ENSG00000230092,16834,transcribed_unprocessed_pseudogene
FAM87B,ENSG00000177757,2467,lincRNA
LINC01128,ENSG00000228794,34309,processed_transcript
LINC00115,ENSG00000225880,1317,lincRNA
FAM41C,ENSG00000230368,8833,lincRNA
TUBB8P11,ENSG00000234711,1058,unprocessed_pseudogene
RP11-54O7.16,ENSG00000272438,11143,lincRNA
RP11-54O7.1,ENSG00000230699,3514,lincRNA
RP11-54O7.2,ENSG00000241180,801,lincRNA
RP11-54O7.3,ENSG00000223764,4152,lincRNA
SAMD11,ENSG00000187634,19702,protein_coding
NOC2L,ENSG00000188976,15106,protein_coding
KLHL17,ENSG00000187961,5129,protein_coding
AL645608.1,ENSG00000277294,57,miRNA
PLEKHN1,ENSG00000187583,9369,protein_coding
PERM1,ENSG00000187642,6890,protein_coding
RP11-54O7.17,ENSG00000272512,2086,lincRNA
HES4,ENSG00000188290,1211,protein_coding
ISG15,ENSG00000187608,13404,protein_coding
RP11-54O7.10,ENSG00000231702,154,processed_pseudogene
RP11-54O7.11,ENSG00000224969,1197,antisense
AGRN,ENSG00000188157,35996,protein_coding
RP11-54O7.14,ENSG00000242590,1084,sense_intronic
RP11-465B22.3,ENSG00000217801,9622,transcribed_unprocessed_pseudogene
RP11-54O7.18,ENSG00000273443,1081,lincRNA
RNF223,ENSG00000237330,3342,protein_coding
C1ORF159,ENSG00000131591,34544,protein_coding
LINC01342,ENSG00000223823,7040,lincRNA
MIR200B,ENSG00000207730,111,miRNA
MIR200A,ENSG00000207607,111,miRNA
MIR429,ENSG00000198976,83,miRNA
RP11-465B22.8,ENSG00000272141,987,lincRNA
TTLL10-AS1,ENSG00000205231,6500,antisense
TTLL10,ENSG00000162571,24052,protein_coding
TNFRSF18,ENSG00000186891,3184,protein_coding
TNFRSF4,ENSG00000186827,2813,protein_coding
SDF4,ENSG00000078808,15124,protein_coding
B3GALT6,ENSG00000176022,2777,protein_coding
FAM132A,ENSG00000184163,4277,protein_coding
RP5-902P8.12,ENSG00000260179,1558,lincRNA
UBE2J2,ENSG00000160087,19977,protein_coding
RP5-902P8.10,ENSG00000230415,5198,lincRNA
SCNN1D,ENSG00000162572,11594,protein_coding
ACAP3,ENSG00000131584,17234,protein_coding
MIR6726,ENSG00000278073,61,miRNA
PUSL1,ENSG00000169972,3111,protein_coding
CPSF3L,ENSG00000127054,13107,protein_coding
MIR6727,ENSG00000274153,65,miRNA
RP5-890O3.9,ENSG00000240731,1109,sense_intronic
CPTP,ENSG00000224051,4142,protein_coding
TAS1R3,ENSG00000169962,3993,protein_coding
DVL1,ENSG00000107404,14075,protein_coding
MIR6808,ENSG00000275884,59,miRNA
MXRA8,ENSG00000162576,9089,protein_coding
AURKAIP1,ENSG00000175756,1766,protein_coding
RP5-890O3.3,ENSG00000223663,367,processed_pseudogene
CCNL2,ENSG00000221978,13618,protein_coding
RP4-758J18.2,ENSG00000224870,2525,processed_transcript
MRPL20,ENSG00000242485,5406,protein_coding
RN7SL657P,ENSG00000264293,293,misc_RNA
